record_id,Id,CreatedAt,UpdatedAt,user_id,title,start_time,end_time,category_id,status,type,parent_id,tags,checklist,note
1773769008006_6ht6pn,25,2026-03-18 17:52:55+00:00,2026-03-21 01:00:41+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Resicum International Authorized negotiator,2026-03-17 17:36:47.619+00,2026-03-21T01:00:34.915Z,client_resicum,stopped,record,,,,
1773769360162_jj0c3m,26,2026-03-18 17:52:55+00:00,2026-03-21 01:00:41+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Chapel Hill Baseline mod,2026-03-17 17:42:39.837+00,2026-03-21T01:00:34.915Z,client_chapel,stopped,record,,,,
1773770942134_otyvx,27,2026-03-18 17:52:55+00:00,2026-03-21 01:00:41+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,water filter exchange,2026-03-17 18:09:01.717+00,2026-03-21T01:00:34.915Z,client_water,stopped,record,,,,
1773771266372_nd5xqj,28,2026-03-18 17:52:55+00:00,2026-03-21 01:00:42+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Saitech EPA,2026-03-17 18:14:25.515+00,2026-03-21T01:00:34.915Z,client_saitech,stopped,record,,,,
1773771911440_hudz5b,29,2026-03-18 17:52:55+00:00,2026-03-21 01:00:42+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,water filter exchange,2026-03-17 18:25:10.756+00,2026-03-21T01:00:34.915Z,client_water,stopped,record,,,,
1773771924212_npn6uy,30,2026-03-18 17:52:55+00:00,2026-03-21 01:00:42+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,water filter exchange ADD mod,2026-03-17 18:25:23.772+00,2026-03-21T01:00:34.915Z,client_water,stopped,record,,,,
1773772658966_ldbgx9,31,2026-03-18 17:52:55+00:00,2026-03-21 01:00:43+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,CHapel Hill FCP transition,2026-03-17 18:37:38.516+00,2026-03-21T01:00:34.915Z,client_chapel,stopped,record,,,,
1773774612723_lo0v91,32,2026-03-18 17:52:55+00:00,2026-03-21 01:00:43+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,RC QUARTERMASTER,2026-03-17 19:10:12.297+00,2026-03-21T01:00:34.915Z,client_rcq,stopped,record,,,,
1773776648378_45qfap,33,2026-03-18 17:52:55+00:00,2026-03-21 01:00:43+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,AGE SOLUTIONS,2026-03-17 19:44:07.82+00,2026-03-21T01:00:34.915Z,client_age,stopped,record,,,,
1773778761181_7hc70l,34,2026-03-18 17:52:55+00:00,2026-03-21 01:00:43+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Saitech,2026-03-17 20:19:20.771+00,2026-03-21T01:00:34.915Z,client_saitech,stopped,record,,,,
1773779967395_13v6ws,35,2026-03-18 17:52:55+00:00,2026-03-21 01:00:44+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Email check,2026-03-17 20:39:26.994+00,2026-03-21T01:00:34.915Z,1773779977008_kcojex,stopped,record,,,,
1773781252461_oru98n,36,2026-03-18 17:52:55+00:00,2026-03-21 01:00:44+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,vibecoding,2026-03-17 22:00:00+00,2026-03-21T01:00:34.915Z,vibecoding,stopped,record,,,,
1773786897015_put2ub,37,2026-03-18 17:52:55+00:00,2026-03-21 01:00:44+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,RESICUM INTERNATIONAL tasks and email,2026-03-17 14:40:00+00,2026-03-21T01:00:34.915Z,client_resicum,stopped,record,,,,
1773786955384_kkvuib,38,2026-03-18 17:52:55+00:00,2026-03-21 01:00:44+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Вайбкодинг,2026-03-17 22:35:55.086+00,2026-03-21T01:00:34.915Z,vibecoding,stopped,record,,,,
1773793598828_1vj3g4,39,2026-03-18 17:52:55+00:00,2026-03-21 01:00:45+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Сон,2026-03-18 00:26:38.522+00,2026-03-21T01:00:34.915Z,sleep,stopped,record,,,,
1773818370974_nmo5fz,40,2026-03-18 17:52:55+00:00,2026-03-21 01:09:35+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,ASTRA,2026-03-18 07:19:00.023+00,2026-03-21T01:09:34.215Z,astra,stopped,record,,,,
1773819307439_6y11pb,41,2026-03-18 17:52:55+00:00,2026-03-21 01:09:35+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,vibecoding,2026-03-18 07:35:07.106+00,2026-03-21T01:09:34.215Z,vibecoding,stopped,record,,,,
1773825166425_mube88,42,2026-03-18 17:52:55+00:00,2026-03-21 01:09:35+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,atozed clients,2026-03-18 09:12:45.962+00,2026-03-21T01:09:34.215Z,atozed_clients,stopped,record,,,,
1773825892913_fdpecj,43,2026-03-18 17:52:55+00:00,2026-03-21 01:09:36+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,vibecoding,2026-03-18 09:24:52.311+00,2026-03-21T01:09:34.215Z,vibecoding,stopped,record,,,,
1773829405360_8bbv7k,44,2026-03-18 17:52:55+00:00,2026-03-21 01:09:36+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Vibecoding,2026-03-18 10:22:40.457+00,2026-03-21T01:09:34.215Z,vibecoding,stopped,record,,,,
1BeqzCggA5rWmlinYaOF,46,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,дома ужин,2026-03-06 14:51:00+00,2026-03-06 15:49:00+00,,completed,record,,,,
1jKM1Jn30L71AiDMriow,47,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,saitech EPA email,2026-03-12 19:22:40.042+00,2026-03-12 19:27:44.495+00,,stopped,record,,,,
1MeSPEDSNykCRCP5myct,48,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,завтрак,2026-03-12 08:37:44.992848+00,2026-03-12 09:01:44.285+00,,completed,record,,,,
1p4liGPzLZaL0rtameXt,49,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,зарядка,2026-03-12 08:22:21.665989+00,2026-03-12 08:37:44.992848+00,,completed,record,,,,
1Xqc5bXdEYLpwXaRLcHE,50,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,LOGICAL MARKETING FCP TRANSITION,2026-02-25 08:03:00+00,2026-02-25 08:30:00+00,,completed,record,,,,
21f68c30-b257-409e-8d8b-c5f62bf0b0c5,51,2026-03-18 17:52:55+00:00,2026-03-21 01:09:36+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,ужин,2026-03-15 17:57:38.710781+00,2026-03-21T01:09:34.215Z,,stopped,record,,,,
2222e920-c439-4819-a968-c5efc732dcee,52,2026-03-18 17:52:55+00:00,2026-03-21 01:09:36+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,saitech del,2026-03-16 17:13:58.189+00,2026-03-21T01:09:34.215Z,client_saitech,stopped,record,,,,
25a89f02-866b-46df-949e-ca26837fd8a6,53,2026-03-18 17:52:55+00:00,2026-03-21 01:09:37+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,сон,2026-03-14 01:47:31.343041+00,2026-03-21T01:09:34.215Z,,stopped,record,,,,
2kGzK7TA5QbBdHX9ooHa,54,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,ball Office Products add,2026-02-27 16:07:00+00,2026-02-27 16:17:00+00,,completed,record,,,,
2OAATP760fOiytCzBXva,55,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,saitech del mod,2026-03-12 19:09:57.199+00,2026-03-12 19:13:27.371+00,,stopped,record,,,,
2SHo1NmVloyXBAseF1mI,56,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Atozed customers,2026-03-12 06:32:29.072482+00,2026-03-12 06:51:37.368559+00,,completed,record,,,,
320e9fc1-9410-4518-9f24-880cbad9cb39,57,2026-03-18 17:52:55+00:00,2026-03-21 01:09:37+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,зарядка,2026-03-15 08:14:00+00,2026-03-21T01:09:34.215Z,,stopped,record,,,,
38bikhFqgLmFN3VbPw1J,58,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,age Solutions Fcp,2026-02-27 20:24:00+00,2026-02-27 20:49:00+00,,completed,record,,,,
3f4b47e2-f399-4837-8aee-51a876e6b764,59,2026-03-18 17:52:55+00:00,2026-03-21 01:09:37+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,LAREDO TS Call,2026-03-16 19:58:37.23+00,2026-03-21T01:09:34.215Z,client_laredo,stopped,record,,,,
3QOGo3ND8wuhKyKVWVT3,60,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,🚕 поездка в аэропорт,2026-02-28 12:55:00+00,2026-02-28 13:44:00+00,,completed,record,,,,
3ufy8AaUtXdWizf2aLyk,61,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,etnika design,2026-03-06 15:50:00+00,2026-03-06 20:59:00+00,,completed,record,,,,
3W4vG5UEorIxaJl2hACC,62,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,TURNKEY CORPORATE HOUSING FCP,2026-02-25 06:28:00+00,2026-02-25 06:36:00+00,,completed,record,,,,
42RYiAfDc0dhFkdm261p,63,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Завтрак,2026-03-11 06:04:41.028001+00,2026-03-11 06:23:36.473+00,,completed,record,,,,
45c25c84-0b1a-49b8-9af8-00238f991cf3,64,2026-03-18 17:52:55+00:00,2026-03-21 01:09:38+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,culinary depot baseline,2026-03-16 15:58:08.074309+00,2026-03-21T01:09:34.215Z,client_culinary,stopped,record,,,,
468e18c2-a046-45c7-848e-ac2e6c5fcc65,65,2026-03-18 17:52:55+00:00,2026-03-21 01:09:38+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Завтрак,2026-03-14 09:37:51.289+00,2026-03-21T01:09:34.215Z,,stopped,record,,,,
4c217554-c206-4e02-9ea1-4b820e9b124d,66,2026-03-18 17:52:55+00:00,2026-03-21 01:09:38+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Saitech EPA,2026-03-16 20:20:06.283+00,2026-03-21T01:09:34.215Z,client_saitech,stopped,record,,,,
4cb2ba20-1139-4110-a7ba-8220fc5f0aee,67,2026-03-18 17:52:55+00:00,2026-03-21 01:09:39+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,carroll woods price comparison task,2026-03-16 16:38:39.328+00,2026-03-21T01:09:34.215Z,client_carroll,stopped,record,,,,
