tag_id,Id,CreatedAt,UpdatedAt,user_id,name,color,icon,plans
,1,2026-03-30 22:18:49+00:00,,,,,,0
1,2,2026-03-30 23:03:09+00:00,2026-03-31 14:17:56+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,attention,#E53935,star,9
2,3,2026-03-30 23:03:48+00:00,2026-03-31 10:39:21+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,tech,#FB8C00,label,2
3,4,2026-03-30 23:04:14+00:00,2026-03-31 14:22:53+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,communication,#FDD835,flag,2
4,5,2026-03-30 23:23:05+00:00,2026-03-31 14:17:56+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,check,#43A047,bookmark,8
